Scattering angle = 0
Wavelength	Ref Index (real)	Ref Index (imaginary)	Cext	Csca	Cabs
 400.2083 	 1.46825551288219 	 1.95304671889357 	 9.91422336788478E-16 	 4.29595963915807E-17 	 9.48462740396897E-16 
 400.8529 	 1.46784999335381 	 1.9532900277101 	 9.89464342785493E-16 	 4.26920848912957E-17 	 9.46772257894197E-16 
 401.4986 	 1.46744383642244 	 1.95353371896385 	 9.8751194280902E-16 	 4.2426278953839E-17 	 9.45085663855181E-16 
 402.1453 	 1.46703702334095 	 1.95377780390299 	 9.85565095469829E-16 	 4.21621659495367E-17 	 9.43402929520292E-16 
 402.793 	 1.46662957285647 	 1.95402227127936 	 9.83623788805132E-16 	 4.1899735712364E-17 	 9.41724053092768E-16 
 403.4418 	 1.46622144747471 	 1.95426714358928 	 9.8168801082837E-16 	 4.16389781275674E-17 	 9.40049032700803E-16 
 404.0917 	 1.46581266594282 	 1.95451240958457 	 9.79757720577843E-16 	 4.13798808074273E-17 	 9.38377839770416E-16 
 404.7425 	 1.4654032282608 	 1.95475806926526 	 9.77832915891109E-16 	 4.11224345523568E-17 	 9.36710481338752E-16 
 405.3945 	 1.46499313442865 	 1.95500412263133 	 9.75913565685229E-16 	 4.08666278986034E-17 	 9.35046937786626E-16 
 406.0475 	 1.46458236569922 	 1.95525058093093 	 9.73999648641454E-16 	 4.06124502310552E-17 	 9.33387198410399E-16 
 406.7015 	 1.46417094081966 	 1.95549743291593 	 9.72091143526817E-16 	 4.03598910032905E-17 	 9.31731252523527E-16 
 407.3566 	 1.46375885978996 	 1.95574467858631 	 9.70188029193878E-16 	 4.01089397371505E-17 	 9.30079089456728E-16 
 408.0127 	 1.46334612261014 	 1.95599231794207 	 9.68290294067192E-16 	 3.98595867687311E-17 	 9.28430707298461E-16 
 408.6699 	 1.46293271053303 	 1.95624036223138 	 9.66397917088344E-16 	 3.96118217412964E-17 	 9.26786095347048E-16 
 409.3282 	 1.46251862355865 	 1.95648881145423 	 9.64510867851409E-16 	 3.93656336280593E-17 	 9.2514523422335E-16 
 409.9875 	 1.46210388043414 	 1.95673765436246 	 9.62629134954501E-16 	 3.91210129525363E-17 	 9.23508122001965E-16 
 410.6479 	 1.4616884811595 	 1.95698689095607 	 9.60752688214786E-16 	 3.88779488300178E-17 	 9.21874739384768E-16 
 411.3093 	 1.46127238824043 	 1.95723654373138 	 9.58881516345007E-16 	 3.86364319069979E-17 	 9.20245084438009E-16 
 411.9718 	 1.46085563917123 	 1.95748659019208 	 9.57015589384091E-16 	 3.83964514390734E-17 	 9.18619137945018E-16 
 412.6354 	 1.46043821520475 	 1.95773704158631 	 9.5515490545716E-16 	 3.81579989089262E-17 	 9.16996906548234E-16 
 413.3001 	 1.46002011634099 	 1.95798789791409 	 9.5329942547176E-16 	 3.79210629871418E-17 	 9.15378362484618E-16 
 413.9658 	 1.45963203503697 	 1.95763194157689 	 9.5161128457356E-16 	 3.76736682902174E-17 	 9.13937616283342E-16 
 414.6326 	 1.45924485824852 	 1.95724476478844 	 9.49935766508792E-16 	 3.74273955797276E-17 	 9.12508370929065E-16 
 415.3004 	 1.45885705848857 	 1.95685696502849 	 9.48265749409079E-16 	 3.71827586276701E-17 	 9.11082990781409E-16 
 415.9694 	 1.45846863575712 	 1.95646854229704 	 9.46601227571827E-16 	 3.69397465761493E-17 	 9.09661480995677E-16 
 416.6394 	 1.45807959005416 	 1.95607949659408 	 9.44942195327607E-16 	 3.66983486385862E-17 	 9.0824384668902E-16 
 417.3105 	 1.45768992137971 	 1.95568982791963 	 9.4328861355834E-16 	 3.64585538130134E-17 	 9.06830059745327E-16 
 417.9827 	 1.45729962973375 	 1.95529953627367 	 9.41640460040075E-16 	 3.62203513160021E-17 	 9.05420108724073E-16 
 418.6559 	 1.45690869781153 	 1.95490860435144 	 9.39997712649984E-16 	 3.59837304368905E-17 	 9.04013982213094E-16 
 419.3303 	 1.45651712561303 	 1.95451703215295 	 9.38360366055329E-16 	 3.574868067829E-17 	 9.02611685377038E-16 
 420.0057 	 1.45612494774781 	 1.95412485428772 	 9.3672838161072E-16 	 3.55151913312361E-17 	 9.01213190279484E-16 
 420.6822 	 1.45573212960631 	 1.95373203614623 	 9.35101754149557E-16 	 3.52832520400861E-17 	 8.99818502109471E-16 
 421.3598 	 1.45533867118855 	 1.95333857772847 	 9.33480445260217E-16 	 3.50528522395073E-17 	 8.9842759302071E-16 
 422.0385 	 1.45494458979929 	 1.95294449633921 	 9.31864449940734E-16 	 3.482398171373E-17 	 8.97040468227004E-16 
 422.7183 	 1.45454986813376 	 1.95254977467368 	 9.30253730011509E-16 	 3.45966300391679E-17 	 8.95657099972341E-16 
 423.3992 	 1.45415450619197 	 1.95215441273189 	 9.28648297220979E-16 	 3.43707872748692E-17 	 8.94277509946109E-16 
 424.0812 	 1.45375850397391 	 1.95175841051383 	 9.2704809699874E-16 	 3.41464429989594E-17 	 8.9290165399978E-16 
 424.7643 	 1.45336187878435 	 1.95136178532427 	 9.25453124667702E-16 	 3.39235872698972E-17 	 8.91529537397805E-16 
 425.4484 	 1.45296461331852 	 1.95096451985844 	 9.23863359043818E-16 	 3.37022100767695E-17 	 8.90161148967048E-16 
 426.1337 	 1.45256669027166 	 1.95056659681158 	 9.22278779039893E-16 	 3.3482301476327E-17 	 8.88796477563566E-16 
 426.8201 	 1.4521681442533 	 1.95016805079322 	 9.20699347162162E-16 	 3.32638514591489E-17 	 8.87435495703013E-16 
 427.5076 	 1.45176894065392 	 1.94976884719383 	 9.19125075538736E-16 	 3.30468504834126E-17 	 8.86078225055323E-16 
 428.1962 	 1.45136911408302 	 1.94936902062294 	 9.17555943320303E-16 	 3.28312888041577E-17 	 8.84724654516145E-16 
 428.8859 	 1.4509686299311 	 1.94896853647102 	 9.15991896847297E-16 	 3.26171564795717E-17 	 8.83374740367726E-16 
 429.5767 	 1.45056750550292 	 1.94856741204283 	 9.14432948433237E-16 	 3.24044441614682E-17 	 8.82028504271769E-16 
 430.2687 	 1.4501657234937 	 1.94816563003362 	 9.12879061094189E-16 	 3.21931421712103E-17 	 8.80685918922979E-16 
 430.9617 	 1.44859792910764 	 1.94731892731587 	 9.1223371284757E-16 	 3.20034282350077E-17 	 8.80230284612562E-16 
 431.6559 	 1.44621053524855 	 1.94615933961393 	 9.12212175837657E-16 	 3.18287265986952E-17 	 8.80383449238962E-16 
 432.3512 	 1.44381934910967 	 1.94499790995325 	 9.12199209064546E-16 	 3.16552306843885E-17 	 8.80543978380158E-16 
 433.0476 	 1.44142437069103 	 1.94383463833383 	 9.12194907383873E-16 	 3.14829343266859E-17 	 8.80711973057187E-16 
 433.7451 	 1.43902549749856 	 1.942669474973 	 9.12199284240865E-16 	 3.13118298265916E-17 	 8.80887454414273E-16 
 434.4437 	 1.43662272953227 	 1.94150241987076 	 9.12212270906015E-16 	 3.11419079566783E-17 	 8.81070362949336E-16 
 435.1435 	 1.4342161692862 	 1.94033352280977 	 9.12233963873798E-16 	 3.09731627204732E-17 	 8.81260801153325E-16 
 435.8444 	 1.43180561177226 	 1.93916268422471 	 9.12264377780177E-16 	 3.08055865902173E-17 	 8.81458791189959E-16 
 436.5464 	 1.42939126197855 	 1.93799000368091 	 9.12303527665163E-16 	 3.0639172094546E-17 	 8.81664355570617E-16 
 437.2496 	 1.42697301741102 	 1.93681543139569 	 9.12351428975894E-16 	 3.0473911818139E-17 	 8.81877517157754E-16 
 437.9539 	 1.42455087806966 	 1.93563896736906 	 9.12408014203014E-16 	 3.03097968204278E-17 	 8.82098217382587E-16 
 438.6593 	 1.42212484395448 	 1.93446061160103 	 9.1247346618777E-16 	 3.01468229599616E-17 	 8.82326643227808E-16 
 439.3659 	 1.41969481257144 	 1.93328031430891 	 9.12547718412687E-16 	 2.99849814056038E-17 	 8.82562737007084E-16 
 440.0736 	 1.41726098890861 	 1.93209817505806 	 9.12630787985172E-16 	 2.98242649627877E-17 	 8.82806523022385E-16 
 440.7824 	 1.41482316797792 	 1.93091409428312 	 9.12722776462362E-16 	 2.9664668068713E-17 	 8.83058108393649E-16 
 441.4924 	 1.4123814522734 	 1.92972812176677 	 9.1282353391683E-16 	 2.9506180481517E-17 	 8.83317353435313E-16 
 442.2035 	 1.40993584179507 	 1.92854025750901 	 9.12933246959682E-16 	 2.93487983227516E-17 	 8.8358444863693E-16 
 442.9158 	 1.40748623404886 	 1.92735045172718 	 9.1305193492421E-16 	 2.91925146109492E-17 	 8.83859420313261E-16 
 443.6292 	 1.40503262903478 	 1.92615870442126 	 9.13179532882111E-16 	 2.90373208435575E-17 	 8.84142212038554E-16 
 444.3438 	 1.40257512924688 	 1.92496506537394 	 9.13316060540571E-16 	 2.88832101473481E-17 	 8.84432850393223E-16 
 445.0595 	 1.40011373468515 	 1.9237695345852 	 9.13461623106195E-16 	 2.87301772743569E-17 	 8.84731445831838E-16 
 445.7764 	 1.39764834285556 	 1.92257206227239 	 9.13616241707357E-16 	 2.85782154538433E-17 	 8.85038026253513E-16 
 446.4944 	 1.39517895375809 	 1.92137264843549 	 9.13779937932817E-16 	 2.84273179670076E-17 	 8.85352619965809E-16 
 447.2136 	 1.39270556739276 	 1.92017129307452 	 9.13952648248572E-16 	 2.82774765757856E-17 	 8.85675171672786E-16 
 447.9339 	 1.39022818375955 	 1.91896799618946 	 9.14134566170302E-16 	 2.81286878067504E-17 	 8.86005878363552E-16 
 448.6554 	 1.38774690535253 	 1.917762807563 	 9.14325543334847E-16 	 2.79809419538571E-17 	 8.8634460138099E-16 
 449.3781 	 1.38526152718358 	 1.91655562762979 	 9.14525688796059E-16 	 2.78342340738786E-17 	 8.86691454722181E-16 
 450.1019 	 1.38277215174676 	 1.9153465061725 	 9.14735026501637E-16 	 2.76885577031336E-17 	 8.87046468798503E-16 
 450.8269 	 1.38027888153612 	 1.9141354929738 	 9.14953667387084E-16 	 2.75439079962534E-17 	 8.87409759390831E-16 
 451.5531 	 1.37780523412482 	 1.91196204160898 	 9.15472993203233E-16 	 2.73864047324413E-17 	 8.88086588470791E-16 
 452.2804 	 1.37533051296183 	 1.90966408594232 	 9.16037218881844E-16 	 2.72283597546159E-17 	 8.88808859127228E-16 
 453.0089 	 1.3728519386724 	 1.90736255237205 	 9.166122312302E-16 	 2.70713920229096E-17 	 8.89540839207291E-16 
 453.7386 	 1.37036930846038 	 1.90505725258747 	 9.17198158041744E-16 	 2.69154952875951E-17 	 8.90282662754149E-16 
 454.4695 	 1.36788272372384 	 1.90274828074393 	 9.1779482525444E-16 	 2.67606605682987E-17 	 8.91034164686141E-16 
 455.2015 	 1.36539208306472 	 1.90043554268607 	 9.18402563671576E-16 	 2.66068835674154E-17 	 8.9179568010416E-16 
 455.9347 	 1.36289738648303 	 1.89811903841389 	 9.19021199643413E-16 	 2.64541554059475E-17 	 8.92567044237465E-16 
 456.6691 	 1.36039873537681 	 1.89579886208275 	 9.196508632586E-16 	 2.63024700314614E-17 	 8.93348393227139E-16 
 457.4047 	 1.35789612974608 	 1.89347501369265 	 9.20291481831042E-16 	 2.61518195925481E-17 	 8.94139662238494E-16 
 458.1414 	 1.3553893667947 	 1.89114730493287 	 9.20943186595232E-16 	 2.60021981332536E-17 	 8.94940988461979E-16 
 458.8794 	 1.35287864931881 	 1.88881592411413 	 9.21606007561677E-16 	 2.585359882209E-17 	 8.95752408739587E-16 
 459.6185 	 1.35036387592033 	 1.88648077708107 	 9.22279975063628E-16 	 2.57060148758048E-17 	 8.96573960187823E-16 
 460.3588 	 1.34784504659928 	 1.8841418638337 	 9.22965016687079E-16 	 2.55594386400067E-17 	 8.97405578047073E-16 
 461.1003 	 1.34532216135564 	 1.881799184372 	 9.23661369281158E-16 	 2.54138652656754E-17 	 8.98247504015483E-16 
 461.843 	 1.34279511879135 	 1.87945264454063 	 9.24368961322552E-16 	 2.5269287192262E-17 	 8.9909967413029E-16 
 462.5869 	 1.34026412170255 	 1.87710243265029 	 9.25087824411934E-16 	 2.51256978258586E-17 	 8.99962126586076E-16 
 463.332 	 1.33772896729311 	 1.87474836039028 	 9.25817990460305E-16 	 2.49830906190035E-17 	 9.00834899841301E-16 
 464.0783 	 1.33518985835914 	 1.87239061607131 	 9.26559596060586E-16 	 2.48414599853547E-17 	 9.01718136075231E-16 
 464.8259 	 1.33264649070647 	 1.87002891722731 	 9.27312465252514E-16 	 2.47007976384689E-17 	 9.02611667614045E-16 
 465.5746 	 1.33009916852928 	 1.86766354632434 	 9.28076944785796E-16 	 2.45610999109235E-17 	 9.03515844874872E-16 
 466.3245 	 1.32754768903144 	 1.8652943150517 	 9.28852753865868E-16 	 2.44223576947901E-17 	 9.04430396171078E-16 
 467.0756 	 1.32499205221296 	 1.86292122340938 	 9.29640241448284E-16 	 2.42845674079158E-17 	 9.05355674040368E-16 
 467.8279 	 1.3224323594719 	 1.86054436555274 	 9.30439125719247E-16 	 2.41477200359756E-17 	 9.06291405683271E-16 
 468.5815 	 1.31986850941019 	 1.85816364732642 	 9.31249757843929E-16 	 2.40118120808326E-17 	 9.07237945763096E-16 
 469.3362 	 1.3173006034259 	 1.85577916288578 	 9.32071961223364E-16 	 2.38768355301461E-17 	 9.08195125693218E-16 
 470.0922 	 1.31472843872289 	 1.85339072392011 	 9.32905876975951E-16 	 2.37427851481211E-17 	 9.09163091827829E-16 
 470.8494 	 1.31215221809731 	 1.85099851874013 	 9.33751540784589E-16 	 2.36096548307335E-17 	 9.10141885953855E-16 
 471.6078 	 1.30861425703624 	 1.84891786222889 	 9.3526503725375E-16 	 2.35028612483119E-17 	 9.11762176005438E-16 
 472.3675 	 1.30024861423399 	 1.84842211939353 	 9.39950313723943E-16 	 2.351928250198E-17 	 9.16431031221963E-16 
 473.1283 	 1.29186951498564 	 1.84792557913747 	 9.4469428979763E-16 	 2.35381729119807E-17 	 9.21156116885649E-16 
 473.8904 	 1.28347695929118 	 1.84742824146071 	 9.49497539405529E-16 	 2.35595635774675E-17 	 9.25937975828062E-16 
 474.6537 	 1.27507061894461 	 1.84693008691397 	 9.54360907681832E-16 	 2.35834935972661E-17 	 9.30777414084566E-16 
 475.4183 	 1.26665082215192 	 1.84643113494652 	 9.59285522311575E-16 	 2.36100105800408E-17 	 9.35675511731534E-16 
 476.184 	 1.25821756891313 	 1.84593138555837 	 9.64271727166503E-16 	 2.36391421959435E-17 	 9.4063258497056E-16 
 476.951 	 1.24977085922822 	 1.84543083874952 	 9.69320950814573E-16 	 2.36709461740508E-17 	 9.45650004640522E-16 
 477.7193 	 1.24131036489121 	 1.84492947507068 	 9.74434108086383E-16 	 2.37054676636537E-17 	 9.50728640422729E-16 
 478.4888 	 1.23283641410808 	 1.84442731397114 	 9.79611853423164E-16 	 2.37427458376642E-17 	 9.558691075855E-16 
 479.2595 	 1.22434867867284 	 1.84392433600162 	 9.84855406280596E-16 	 2.37828364040997E-17 	 9.61072569876496E-16 
 480.0314 	 1.21584715858549 	 1.84342054116211 	 9.90165449227513E-16 	 2.38257816466873E-17 	 9.66339667580826E-16 
 480.8046 	 1.20733185384603 	 1.84291592945261 	 9.95543239935464E-16 	 2.38716409315644E-17 	 9.71671599003899E-16 
 481.5791 	 1.19880309266046 	 1.84241052032241 	 1.00098977634413E-15 	 2.39204678937737E-17 	 9.77069308450354E-16 
 482.3548 	 1.19026054682277 	 1.84190429432223 	 1.00650607350412E-15 	 2.39723180617534E-17 	 9.82533755442368E-16 
 483.1317 	 1.18170421633297 	 1.84139725145206 	 1.01209287169374E-15 	 2.40272406911541E-17 	 9.8806563100259E-16 
 483.9099 	 1.17313410119106 	 1.8408893917119 	 1.01775180182111E-15 	 2.40853116663319E-17 	 9.93666490154776E-16 
 484.6894 	 1.16455020139704 	 1.84038071510176 	 1.02348364151062E-15 	 2.41465845185404E-17 	 9.99337056992081E-16 
 485.4701 	 1.15595251695091 	 1.83987122162162 	 1.02928917503331E-15 	 2.42111144804329E-17 	 1.00507806055288E-15 
 486.252 	 1.14734104785266 	 1.83936091127151 	 1.03517010175946E-15 	 2.42789847777568E-17 	 1.01089111698171E-15 
 487.0353 	 1.1387154658963 	 1.83884976460212 	 1.04112754939376E-15 	 2.43502643050366E-17 	 1.01677728508872E-15 
 487.8197 	 1.13007609928782 	 1.83833780106274 	 1.04716204597145E-15 	 2.44250064040978E-17 	 1.02273703956735E-15 
 488.6055 	 1.12142294802723 	 1.83782502065338 	 1.05327536004243E-15 	 2.4503302503127E-17 	 1.0287720575393E-15 
 489.3925 	 1.11275568390853 	 1.83731140392475 	 1.05946867171458E-15 	 2.45852292209671E-17 	 1.03488344249361E-15 
 490.1808 	 1.10407463513771 	 1.83679697032613 	 1.06574286083127E-15 	 2.46708565136613E-17 	 1.04107200431761E-15 
 490.9703 	 1.09537947350878 	 1.83628170040824 	 1.07209913269529E-15 	 2.47602662331739E-17 	 1.04733886646211E-15 
 491.7612 	 1.08667019902174 	 1.83576559417107 	 1.07853935649953E-15 	 2.48535627410251E-17 	 1.05368579375851E-15 
 492.5533 	 1.07794713988258 	 1.83524867106392 	 1.0850641354386E-15 	 2.49508151190523E-17 	 1.06011332031955E-15 
 493.3466 	 1.06920996788531 	 1.8347309116375 	 1.09167505357397E-15 	 2.50521246734047E-17 	 1.06662292890056E-15 
 494.1413 	 1.06045868302992 	 1.8342123158918 	 1.09837305671716E-15 	 2.51575762589431E-17 	 1.07321548045822E-15 
 494.9372 	 1.05169328531642 	 1.83369288382684 	 1.10516010210137E-15 	 2.52672888405166E-17 	 1.07989281326085E-15 
 495.7344 	 1.0429137747448 	 1.8331726154426 	 1.11203716813054E-15 	 2.5381354663924E-17 	 1.08665581346661E-15 
 496.5329 	 1.031033165054 	 1.83829462833736 	 1.11847717076637E-15 	 2.56672255526246E-17 	 1.09280994521375E-15 
 497.3327 	 1.01760123879674 	 1.84622586643079 	 1.12444725795016E-15 	 2.60394306683655E-17 	 1.0984078272818E-15 
 498.1338 	 1.00414728970616 	 1.85417010849189 	 1.13012042574608E-15 	 2.64180023101274E-17 	 1.10370242343595E-15 
 498.9361 	 0.990671818301176 	 1.86212705897592 	 1.13547268968937E-15 	 2.68026856577368E-17 	 1.10867000403163E-15 
 499.7398 	 0.977174824581802 	 1.87009671788289 	 1.14048022390645E-15 	 2.7193276266917E-17 	 1.11328694763953E-15 
 500.5447 	 0.963656308548034 	 1.87807908521281 	 1.14511737503425E-15 	 2.75894729189658E-17 	 1.11752790211529E-15 
 501.351 	 0.950115269161994 	 1.8860747520551 	 1.14935805759269E-15 	 2.79909801923467E-17 	 1.12136707740034E-15 
 502.1585 	 0.936553207980501 	 1.89408283177562 	 1.15317498510451E-15 	 2.83974428201188E-17 	 1.12477754228439E-15 
 502.9674 	 0.922969123965674 	 1.90210391546379 	 1.15653958926419E-15 	 2.8808420017189E-17 	 1.127731169247E-15 
 503.7775 	 0.909363017117514 	 1.91013800311962 	 1.15942371195779E-15 	 2.92235608522989E-17 	 1.13020015110549E-15 
 504.589 	 0.895734887436022 	 1.91818509474312 	 1.16179684264068E-15 	 2.96422914059097E-17 	 1.13215455123477E-15 
 505.4017 	 0.882084734921197 	 1.92624519033427 	 1.16362896336215E-15 	 3.00641245994161E-17 	 1.13356483876273E-15 
 506.2158 	 0.868412559573039 	 1.93431828989308 	 1.16488908182031E-15 	 3.04884801046336E-17 	 1.13440060171568E-15 
 507.0312 	 0.854719362429427 	 1.94240380233011 	 1.1655457465207E-15 	 3.09147272881436E-17 	 1.13463101923255E-15 
 507.8479 	 0.841003141414603 	 1.95050290982425 	 1.16556717921241E-15 	 3.13421839294589E-17 	 1.13422499528295E-15 
 508.6659 	 0.827264897566447 	 1.95861502128604 	 1.16492152546829E-15 	 3.17701617946701E-17 	 1.13315136367362E-15 
 509.4852 	 0.813504630884958 	 1.96674013671549 	 1.16357657129441E-15 	 3.21977798639976E-17 	 1.13137879143042E-15 
 510.3058 	 0.799722341370135 	 1.9748782561126 	 1.16150067941237E-15 	 3.26242897864767E-17 	 1.12887638962589E-15 
 511.1278 	 0.785917027984102 	 1.9830299705668 	 1.15866241110548E-15 	 3.30487035266055E-17 	 1.12561370757887E-15 
 511.9511 	 0.772090692802614 	 1.99119409789923 	 1.15503091386188E-15 	 3.34701671584308E-17 	 1.12156074670345E-15 
 512.7757 	 0.758241333749915 	 1.99937182028876 	 1.15057626331839E-15 	 3.38876355330789E-17 	 1.11668862778531E-15 
 513.6017 	 0.744369951863883 	 2.00756254664595 	 1.14526940472899E-15 	 3.43001070403802E-17 	 1.11096929768861E-15 
 514.4289 	 0.730476547144518 	 2.01576627697079 	 1.13908334263581E-15 	 3.4706394870298E-17 	 1.10437694776551E-15 
 515.2575 	 0.716560118553942 	 2.02398360235274 	 1.13199141900237E-15 	 3.51054983929457E-17 	 1.09688592060943E-15 
 516.0875 	 0.702621667130033 	 2.03221393170234 	 1.12397080560137E-15 	 3.5496103344082E-17 	 1.08847470225728E-15 
 516.9188 	 0.688660191834912 	 2.04045785610904 	 1.11499923452764E-15 	 3.58770882271357E-17 	 1.0791221463005E-15 
 517.7514 	 0.674676693706458 	 2.04871478448341 	 1.10505823570127E-15 	 3.6247167342212E-17 	 1.06881106835906E-15 
 518.5853 	 0.660671172744672 	 2.05698471682543 	 1.09413124489703E-15 	 3.66051207105668E-17 	 1.05752612418646E-15 
 519.4206 	 0.646642627911674 	 2.06526824422455 	 1.08220537356187E-15 	 3.69496679608629E-17 	 1.045255705601E-15 
 520.2573 	 0.632591059207465 	 2.07356536668077 	 1.06927206762675E-15 	 3.72794802820034E-17 	 1.03199258734475E-15 
 521.0953 	 0.619393724140375 	 2.08219350468281 	 1.0546142493971E-15 	 3.75352344870862E-17 	 1.01707901491001E-15 
 521.9346 	 0.613628941018531 	 2.09354102025133 	 1.03389633634318E-15 	 3.73229760716782E-17 	 9.965733602715E-16 
 522.7753 	 0.607854742329878 	 2.1049070696118 	 1.01311674602082E-15 	 3.70985597863359E-17 	 9.76018186234481E-16 
 523.6174 	 0.602071537446886 	 2.11629084694716 	 9.92302946867911E-16 	 3.68625442135749E-17 	 9.55440402654336E-16 
 524.4608 	 0.596278916997085 	 2.12769315807446 	 9.71478955056379E-16 	 3.66154973927212E-17 	 9.34863457663658E-16 
 525.3056 	 0.590476880980475 	 2.1391140029937 	 9.50673193693305E-16 	 3.63579929229269E-17 	 9.14315200770378E-16 
 526.1517 	 0.584665429397057 	 2.15055338170488 	 9.29909183638513E-16 	 3.60906101752237E-17 	 8.9381857346329E-16 
 526.9992 	 0.5788449716193 	 2.16201048839095 	 9.09210772431349E-16 	 3.58139306404343E-17 	 8.73396841790914E-16 
 527.848 	 0.573015098274733 	 2.17348612886897 	 8.88600765781819E-16 	 3.55285360781988E-17 	 8.5307222970362E-16 
 528.6983 	 0.567175399990888 	 2.18498110895596 	 8.68102186487715E-16 	 3.52350104033085E-17 	 8.32867176084407E-16 
 529.5498 	 0.561326695512704 	 2.19649381701785 	 8.47733042286036E-16 	 3.49339217025532E-17 	 8.12799120583483E-16 
 530.4028 	 0.555468166095242 	 2.20802586468872 	 8.27514117405698E-16 	 3.46258430896756E-17 	 7.92888274316023E-16 
 531.2572 	 0.54960063048344 	 2.21957564033449 	 8.07463740632569E-16 	 3.43113363730251E-17 	 7.73152404259543E-16 
 532.1129 	 0.543723679304829 	 2.23114394977219 	 7.87599083212177E-16 	 3.39909538474549E-17 	 7.53608129364722E-16 
 532.97 	 0.53783690318694 	 2.24273159881888 	 7.67936157780215E-16 	 3.36652367905388E-17 	 7.34270920989677E-16 
